,x,y,label,env_name,cluster
2068,0.6536185,0.7789001,0,reach-v2,1
1474,0.7363583,0.9244224,0,reach-v2,1
2367,0.79227173,0.8568084,0,reach-v2,1
1470,0.6563597,0.8346974,0,reach-v2,1
908,0.65987647,0.83691365,0,reach-v2,1
2387,0.6805096,0.7430464,0,reach-v2,1
910,0.704367,0.8017345,0,reach-v2,1
1441,0.74378353,0.80568534,0,reach-v2,1
912,0.70251405,0.8777017,0,reach-v2,1
1434,0.7012838,0.80335516,0,reach-v2,1
1432,0.6791891,0.8449818,0,reach-v2,1
2408,0.7103838,0.77379584,0,reach-v2,1
1429,0.7189449,0.83158237,0,reach-v2,1
1420,0.78103554,0.80832505,0,reach-v2,1
2423,0.73537725,0.76083034,0,reach-v2,1
2425,0.7998615,0.81921965,0,reach-v2,1
334,0.69652426,0.81706893,0,reach-v2,1
1410,0.7683011,0.83171445,0,reach-v2,1
330,0.7352462,0.79152673,0,reach-v2,1
2437,0.77545226,0.7586039,0,reach-v2,1
325,0.783106,0.76997757,0,reach-v2,1
317,0.6852933,0.9415513,0,reach-v2,1
367,0.72505456,0.7682197,0,reach-v2,1
2446,0.7052596,0.8195724,0,reach-v2,1
1479,0.7041952,0.8092418,0,reach-v2,1
1507,0.7429318,0.79977113,0,reach-v2,1
2252,0.7049022,0.7847898,0,reach-v2,1
1557,0.77642024,0.8551405,0,reach-v2,1
1550,0.683577,0.89486665,0,reach-v2,1
1548,0.6922249,0.8067417,0,reach-v2,1
1539,0.6865754,0.90425503,0,reach-v2,1
428,0.76881033,0.7659989,0,reach-v2,1
424,0.81952715,0.8429761,0,reach-v2,1
2281,0.68607724,0.79991627,0,reach-v2,1
420,0.7426984,0.87862885,0,reach-v2,1
865,0.6957735,0.9309354,0,reach-v2,1
1524,0.7307986,0.82437474,0,reach-v2,1
2296,0.7946499,0.8587545,0,reach-v2,1
413,0.7431721,0.82986736,0,reach-v2,1
2297,0.7676185,0.78458375,0,reach-v2,1
2308,0.76651114,0.7570398,0,reach-v2,1
2311,0.7438204,0.8596739,0,reach-v2,1
872,0.72809523,0.8648471,0,reach-v2,1
2315,0.7050439,0.9360983,0,reach-v2,1
2334,0.77520317,0.9036116,0,reach-v2,1
385,0.73617244,0.81892306,0,reach-v2,1
383,0.733447,0.8229335,0,reach-v2,1
1481,0.6850958,0.9421338,0,reach-v2,1
1392,0.76396644,0.8684844,0,reach-v2,1
2453,0.6844223,0.8983441,0,reach-v2,1
2459,0.77526146,0.76314825,0,reach-v2,1
1343,0.67479277,0.7660312,0,reach-v2,1
251,0.78434676,0.82829535,0,reach-v2,1
