step,task0_mean_1,task0_upper_1,task0_lower_1,task0_mean_2,task0_upper_2,task0_lower_2,task0_mean_3,task0_upper_3,task0_lower_3
30000,0,0,0,0.36,0.733938769,-0.013938769,0.32,0.717974461,-0.077974461
37500,0.08,0.17797959,-0.01797959,0.48,0.951918359,0.008081641,0.44,0.837974461,0.042025539
45000,0.12,0.29797959,-0.05797959,0.56,1.049897949,0.070102051,0.56,1.067518973,0.052481027
52500,0.16,0.41797959,-0.09797959,0.64,1.111918359,0.168081641,0.68,1.187518973,0.172481027
60000,0.24,0.595959179,-0.115959179,0.64,1.111918359,0.168081641,0.72,1.20741718,0.23258282
67500,0.28,0.715959179,-0.155959179,0.64,1.111918359,0.168081641,0.76,1.227315388,0.292684612
75000,0.2,0.53797959,-0.13797959,0.64,1.111918359,0.168081641,0.76,1.227315388,0.292684612
82500,0.2,0.53797959,-0.13797959,0.68,1.133938769,0.226061231,0.8,1.247213595,0.352786405
90000,0.2,0.53797959,-0.13797959,0.64,1.111918359,0.168081641,0.8,1.247213595,0.352786405
97500,0.2,0.53797959,-0.13797959,0.68,1.133938769,0.226061231,0.8,1.247213595,0.352786405
105000,0.24,0.595959179,-0.115959179,0.72,1.155959179,0.284040821,0.76,1.227315388,0.292684612
112500,0.32,0.773938769,-0.133938769,0.76,1.17797959,0.34202041,0.76,1.227315388,0.292684612
120000,0.4,0.871918359,-0.071918359,0.72,1.155959179,0.284040821,0.76,1.227315388,0.292684612
127500,0.52,0.991918359,0.048081641,0.76,1.17797959,0.34202041,0.8,1.177872669,0.422127331
135000,0.56,1.031918359,0.088081641,0.76,1.17797959,0.34202041,0.8,1.177872669,0.422127331
142500,0.6,1.071918359,0.128081641,0.76,1.17797959,0.34202041,0.88,1.148328157,0.611671843
150000,0.68,1.133938769,0.226061231,0.76,1.17797959,0.34202041,0.88,1.148328157,0.611671843
157500,0.64,1.093938769,0.186061231,0.76,1.17797959,0.34202041,0.88,1.148328157,0.611671843
165000,0.52,0.973938769,0.066061231,0.76,1.17797959,0.34202041,0.84,1.197770876,0.482229124
172500,0.48,0.933938769,0.026061231,0.72,1.155959179,0.284040821,0.84,1.197770876,0.482229124
180000,0.48,0.933938769,0.026061231,0.72,1.155959179,0.284040821,0.84,1.197770876,0.482229124
187500,0.36,0.813938769,-0.093938769,0.76,1.115959179,0.404040821,0.88,1.148328157,0.611671843
195000,0.36,0.813938769,-0.093938769,0.84,1.09797959,0.58202041,0.92,1.098885438,0.741114562
202500,0.4,0.871918359,-0.071918359,0.832,1.087542467,0.576457533,0.96,1.049442719,0.870557281
210000,0.472,0.923501647,0.020498353,0.872,1.109562878,0.634437122,1,1,1
217500,0.548,0.909522057,0.186477943,0.912,1.069562878,0.754437122,1,1,1
225000,0.628,1.007501647,0.248498353,0.872,1.109562878,0.634437122,1,1,1
232500,0.708,1.069522057,0.346477943,0.832,1.149562878,0.514437122,1,1,1
240000,0.828,1.091542467,0.564457533,0.88,1.12,0.64,1,1,1
247500,0.756,1.039959179,0.472040821,0.88,1.12,0.64,1,1,1
255000,0.68,1.053938769,0.306061231,0.88,1.12,0.64,1,1,1
262500,0.68,1.053938769,0.306061231,0.92,1.08,0.76,1,1,1
270000,0.72,1.013938769,0.426061231,0.96,1.04,0.88,1,1,1
277500,0.68,1.053938769,0.306061231,0.96,1.04,0.88,1,1,1
285000,0.76,1.115959179,0.404040821,1,1,1,1,1,1
292500,0.76,1.115959179,0.404040821,1,1,1,1,1,1
300000,0.8,1.13797959,0.46202041,1,1,1,1,1,1
307500,0.76,1.17797959,0.34202041,1,1,1,1,1,1
315000,0.76,1.17797959,0.34202041,1,1,1,1,1,1
322500,0.76,1.17797959,0.34202041,1,1,1,0.96,1.049442719,0.870557281
330000,0.8,1.2,0.4,1,1,1,0.96,1.049442719,0.870557281
337500,0.84,1.16,0.52,1,1,1,0.96,1.049442719,0.870557281
345000,0.84,1.16,0.52,0.96,1.04,0.88,0.96,1.049442719,0.870557281
352500,0.88,1.12,0.64,0.96,1.04,0.88,0.96,1.049442719,0.870557281
360000,0.84,1.09797959,0.58202041,0.92,1.08,0.76,1,1,1
367500,0.84,1.09797959,0.58202041,0.92,1.08,0.76,1,1,1
375000,0.8,1.13797959,0.46202041,0.88,1.12,0.64,0.96,1.049442719,0.870557281
382500,0.76,1.115959179,0.404040821,0.92,1.08,0.76,0.96,1.049442719,0.870557281
390000,0.68,1.133938769,0.226061231,0.92,1.08,0.76,0.92,1.098885438,0.741114562
397500,0.64,1.093938769,0.186061231,0.96,1.04,0.88,0.88,1.148328157,0.611671843
405000,0.64,1.093938769,0.186061231,0.96,1.04,0.88,0.88,1.148328157,0.611671843
412500,0.68,1.053938769,0.306061231,0.96,1.04,0.88,0.88,1.148328157,0.611671843
420000,0.72,1.075959179,0.364040821,0.96,1.04,0.88,0.88,1.148328157,0.611671843
427500,0.72,1.075959179,0.364040821,0.96,1.04,0.88,0.92,1.098885438,0.741114562
435000,0.8,1.13797959,0.46202041,0.96,1.04,0.88,0.96,1.049442719,0.870557281
442500,0.84,1.09797959,0.58202041,0.96,1.04,0.88,0.96,1.049442719,0.870557281
450000,0.8,1.13797959,0.46202041,1,1,1,1,1,1
457500,0.76,1.115959179,0.404040821,1,1,1,1,1,1
465000,0.84,1.09797959,0.58202041,1,1,1,1,1,1
472500,0.84,1.09797959,0.58202041,1,1,1,1,1,1
480000,0.84,1.09797959,0.58202041,1,1,1,1,1,1
487500,0.84,1.09797959,0.58202041,1,1,1,1,1,1
495000,0.88,1.12,0.64,1,1,1,1,1,1
502500,0.84,1.16,0.52,1,1,1,1,1,1
510000,0.84,1.16,0.52,1,1,1,1,1,1
517500,0.8,1.2,0.4,1,1,1,1,1,1
525000,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
532500,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
540000,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
547500,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
555000,0.8,1.13797959,0.46202041,0.96,1.04,0.88,1,1,1
562500,0.76,1.17797959,0.34202041,0.96,1.04,0.88,1,1,1
570000,0.76,1.17797959,0.34202041,0.92,1.08,0.76,1,1,1
577500,0.8,1.13797959,0.46202041,0.92,1.08,0.76,1,1,1
585000,0.84,1.09797959,0.58202041,0.92,1.08,0.76,1,1,1
592500,0.88,1.12,0.64,0.92,1.08,0.76,1,1,1
600000,0.84,1.09797959,0.58202041,0.96,1.04,0.88,1,1,1
607500,0.8,1.075959179,0.524040821,0.96,1.04,0.88,1,1,1
615000,0.8,1.075959179,0.524040821,0.96,1.04,0.88,1,1,1
622500,0.72,1.093938769,0.346061231,0.96,1.04,0.88,1,1,1
630000,0.72,1.093938769,0.346061231,0.96,1.04,0.88,1,1,1
637500,0.8,1.075959179,0.524040821,0.96,1.04,0.88,1,1,1
645000,0.8,1.075959179,0.524040821,1,1,1,1,1,1
652500,0.76,1.115959179,0.404040821,1,1,1,1,1,1
660000,0.8,1.13797959,0.46202041,1,1,1,1,1,1
667500,0.8,1.13797959,0.46202041,1,1,1,1,1,1
675000,0.76,1.17797959,0.34202041,1,1,1,1,1,1
682500,0.8,1.2,0.4,0.96,1.04,0.88,1,1,1
690000,0.8,1.2,0.4,0.96,1.04,0.88,1,1,1
697500,0.8,1.2,0.4,0.96,1.04,0.88,1,1,1
705000,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
712500,0.84,1.16,0.52,0.96,1.04,0.88,1,1,1
720000,0.84,1.16,0.52,1,1,1,1,1,1
727500,0.84,1.16,0.52,1,1,1,1,1,1
735000,0.84,1.16,0.52,1,1,1,1,1,1
742500,0.84,1.16,0.52,1,1,1,1,1,1
750000,0.88,1.12,0.64,0.96,1.04,0.88,1,1,1
